"StandID","YearsBetwSurveys","CellArea_ha","cOffset","eOffset"
419,1.1,1,1.1,1.1
421,1.1,1,1.1,1.1
424,1.1,1,1.1,1.1
426,1.1,0.8,0.88,1.375
440,1.1,1,1.1,1.1
442,1.1,1,1.1,1.1
444,1.1,1,1.1,1.1
446,1.1,0.6,0.66,1.83333333333333
447,1.1,0.8,0.88,1.375
449,1.1,0.6,0.66,1.83333333333333
450,1.1,1,1.1,1.1
452,1.1,1,1.1,1.1
453,1.1,1,1.1,1.1
455,1.1,0.8,0.88,1.375
460,1.1,1,1.1,1.1
461,1.1,1,1.1,1.1
462,1.1,1,1.1,1.1
463,1.1,1,1.1,1.1
464,1.1,1,1.1,1.1
472,0.9,1,0.9,0.9
474,0.9,1,0.9,0.9
475,0.9,1,0.9,0.9
476,0.9,1,0.9,0.9
477,0.9,1,0.9,0.9
479,0.9,1,0.9,0.9
486,1.2,1,1.2,1.2
491,1.2,0.6,0.72,2
492,1.2,0.8,0.96,1.5
494,1.2,1,1.2,1.2
496,1.2,0.8,0.96,1.5
525,1.2,1,1.2,1.2
534,1.2,1,1.2,1.2
535,1.2,1,1.2,1.2
537,1.2,1,1.2,1.2
542,1.2,0.8,0.96,1.5
543,1.2,0.6,0.72,2
544,1.2,1,1.2,1.2
548,1.2,1,1.2,1.2
551,0.9,1,0.9,0.9
553,0.9,1,0.9,0.9
555,0.9,1,0.9,0.9
557,0.9,1,0.9,0.9
558,0.9,1,0.9,0.9
140,1.1,1,1.1,1.1
183,1,1,1,1
186,1,0.8,0.8,1.25
196,1,0.6,0.6,1.66666666666667
198,1,1,1,1
201,1,1,1,1
203,1,1,1,1
215,1,1,1,1
226,1,1,1,1
234,1,1,1,1
236,1,0.6,0.6,1.66666666666667
242,1,1,1,1
246,1,0.6,0.6,1.66666666666667
248,1,0.6,0.6,1.66666666666667
249,1,1,1,1
250,1,0.6,0.6,1.66666666666667
252,1,0.8,0.8,1.25
255,1,1,1,1
256,1,0.6,0.6,1.66666666666667
261,1,0.6,0.6,1.66666666666667
262,1,0.4,0.4,2.5
263,1,1,1,1
265,1,0.6,0.6,1.66666666666667
268,1,0.8,0.8,1.25
279,1,0.6,0.6,1.66666666666667
282,1,0.4,0.4,2.5
283,1,1,1,1
284,1,1,1,1
285,1,1,1,1
286,1,1,1,1
287,1,1,1,1
288,1,1,1,1
289,1,1,1,1
290,1,0.8,0.8,1.25
293,1,0.8,0.8,1.25
295,1,1,1,1
297,1,1,1,1
299,1,1,1,1
301,1,1,1,1
302,1,0.4,0.4,2.5
304,1,0.8,0.8,1.25
305,1,1,1,1
306,1,1,1,1
307,1,1,1,1
308,1,1,1,1
310,1,1,1,1
311,1,1,1,1
400,1.1,1,1.1,1.1
402,1.1,0.8,0.88,1.375
404,1.1,1,1.1,1.1
406,1.1,1,1.1,1.1
417,1.1,1,1.1,1.1
430,1.1,1,1.1,1.1
431,1.1,0.4,0.44,2.75
432,1.1,0.8,0.88,1.375
433,1.1,1,1.1,1.1
434,1.1,1,1.1,1.1
435,1.1,1,1.1,1.1
436,1.1,1,1.1,1.1
438,1.1,1,1.1,1.1
439,1.1,1,1.1,1.1
441,1.1,0.8,0.88,1.375
445,1.1,0.6,0.66,1.83333333333333
456,1.1,0.6,0.66,1.83333333333333
466,1.1,1,1.1,1.1
